GEOID,borough,tract_name,population,area_km2,pop_density,restroom_count,people_per_restroom,nearest_restroom_dist,Priority_Score,Priority_Class
36081090700,Queens,Census Tract 907,1545,2.354872692087723,656.0864225022175,1,772.5,1108.9978815483287,-0.630591902657251,0
36081092800,Queens,Census Tract 928,3440,1.6603219357361465,2071.8873406167386,0,3440.0,4445.046443647421,0.539197921653991,1
36081092900,Queens,Census Tract 929,7078,3.4036905832828435,2079.507471908126,2,2359.3333333333335,2397.994319349173,0.16034961770793543,0
36081091602,Queens,Census Tract 916.02,0,2.402175799903299,0.0,0,0.0,13126.42096327838,-1.810889301045506,0
36081091800,Queens,Census Tract 918,8,3.420772122616095,2.3386532961692463,0,8.0,10381.620451884233,-1.2869933751598424,0
36081092200,Queens,Census Tract 922,2098,1.3337136311139648,1573.0513290530564,0,2098.0,6622.974854876669,0.5907177733821656,1
36081093800,Queens,Census Tract 938,5081,2.1106354882892333,2407.33183355994,4,1016.2,416.9928591553338,-0.8449564237084312,0
36081049301,Queens,Census Tract 493.01,2317,0.16413554329140484,14116.381824053904,0,2317.0,1980.8355293225302,0.37294974318652924,0
36081049302,Queens,Census Tract 493.02,3126,0.2693509182265672,11605.677903687463,1,1563.0,489.7924909324466,-0.4243774534882178,0
36081049500,Queens,Census Tract 495,1299,0.1290362979042476,10066.934816774838,0,1299.0,933.3808810604477,-0.16826459856771728,0
36081049600,Queens,Census Tract 496,2967,0.2731157536943816,10863.525665824804,0,2967.0,1957.4292393554454,0.37462694951689796,0
36081049700,Queens,Census Tract 497,2992,0.1975656047336952,15144.3365055016,0,2992.0,1528.499384876183,0.30861253257337884,0
36081049900,Queens,Census Tract 499,5289,0.4623824900140895,11438.581940762584,2,1763.0,532.6423381469126,-0.36126689100768977,0
36081060100,Queens,Census Tract 601,2405,0.1544248420548776,15573.919118177506,0,2405.0,1336.0993503302973,0.20295002298937972,0
